Bot \ Opponent (average turns),bot7,bot6,bot8,Hard_Default,bot2,bot5,bot1,bot4,bot3
bot7,self,37.41,90.59,95.58,53.35,34.46,42.34,64.05,31.69
bot6,37.41,self,46.09,43.05,36.80,32.74,39.43,81.52,31.09
bot8,90.59,46.09,self,69.48,57.94,66.86,53.36,76.57,36.16
Hard_Default,95.58,43.05,69.48,self,58.44,69.67,51.58,78.60,37.14
bot2,53.35,36.80,57.94,58.44,self,52.92,46.96,57.36,38.82
bot5,34.46,32.74,66.86,69.67,52.92,self,36.66,34.45,34.58
bot1,42.34,39.43,53.36,51.58,46.96,36.66,self,41.01,32.76
bot4,64.05,81.52,76.57,78.60,57.36,34.45,41.01,self,40.00
bot3,31.69,31.09,36.16,37.14,38.82,34.58,32.76,40.00,self
