Bot \ Opponent (win-rate %),bot7,bot6,bot8,Hard_Default,bot2,bot5,bot1,bot4,bot3
bot7,self,46.67,18.33,13.67,52.00,89.67,89.67,78.00,88.33
bot6,52.00,self,11.33,12.33,52.67,93.67,94.00,62.33,96.00
bot8,51.67,87.00,self,49.67,47.67,81.67,51.67,43.67,52.33
Hard_Default,53.33,87.33,48.00,self,48.33,82.00,49.67,37.67,52.00
bot2,44.00,47.33,47.67,46.67,self,11.33,84.67,49.33,49.00
bot5,8.67,5.67,17.67,16.00,85.67,self,48.33,89.67,92.67
bot1,7.67,5.67,44.67,48.33,13.33,51.67,self,90.00,93.67
bot4,13.67,10.33,53.33,58.00,49.00,9.67,10.00,self,53.33
bot3,11.00,4.00,45.33,46.00,49.67,4.33,6.33,46.33,self
